claim_id,source,source_sha,claim_text,research_question,notebook,input_snapshot,method,n,result,verdict,limitations,followup,D_commit_sha
CL-001,SSOTV2/08,fed4010c,"E001 attempted 59/59",RQ-D1,D00,INPUT_SNAPSHOT_v21.json,"evidence dir의 wtg id distinct count",59 targets,"66 obs dir / 59 distinct wtg",SUPPORTED,"target 단위로는 참이나 66 dir을 59로 세는 근거가 문서에 없음",RQ-D1b,ae9d9af6bc172957b585ef29745141840dd1d780
CL-002,SSOTV2/08,fed4010c,"Axis B: MPFED available 0/59",RQ-D1,D00,INPUT_SNAPSHOT_v21.json,"fact_task_entry.MPFED non-null count",31 task rows,"MPFED non-null 0/31; NED 0/31; IED 0/31",SUPPORTED,"분모는 59가 아니라 31 task row. NED도 0인 점이 문서에 없음",RQ-D6,ae9d9af6bc172957b585ef29745141840dd1d780
CL-003,SSOTV2/08,fed4010c,"Axis A: NOT_EVALUATED",RQ-D1,D00,INPUT_SNAPSHOT_v21.json,"fact_criterion_result.json byte/row count",0 rows,"파일 2 bytes = []",SUPPORTED,"없음 — byte 수준 확인",,ae9d9af6bc172957b585ef29745141840dd1d780
CL-004,SSOTV2/08,fed4010c,"target-level guard block 25/59",RQ-D1,D00,INPUT_SNAPSHOT_v21.json,"landing target set - task target set",56 landing targets,"task_entry 행 없는 target 25",PARTIALLY_SUPPORTED,"25는 재현되나 분모가 59가 아니라 56. guard 사유는 mart에 기록 없음",RQ-D2,ae9d9af6bc172957b585ef29745141840dd1d780
CL-005,SSOTV2/03 §10,3a362680,"이전 duplicate launch 7건",RQ-D1,D00,INPUT_SNAPSHOT_v21.json,"반복 wtg의 시간간격·sealed·artifact count 분류",7 repeat targets,"SHORT 4 = 양쪽 완결 중복실행 / LONG 3 = 양쪽 빈 디렉터리 재시도실패",PARTIALLY_SUPPORTED,"7건은 동질집단이 아님. 4건만 exactly-once 위반",RQ-D1b,ae9d9af6bc172957b585ef29745141840dd1d780
CL-006,"C 세션 (기억)",1baa865b,"w02 4건 duplicate launch 확정",RQ-D1,D00,INPUT_SNAPSHOT_v21.json,"동일 분류",7 repeat targets,"w02 SHORT 4건과 정확히 일치",SUPPORTED,"C가 w03 LONG 2건을 별개로 분류했는지는 미확인",RQ-D1b,ae9d9af6bc172957b585ef29745141840dd1d780
CL-007,"B 세션 (간접)",2281c853,"extra runs are retries",RQ-D1,D00,INPUT_SNAPSHOT_v21.json,"동일 분류",7 repeat targets,"LONG 3건에만 해당. SHORT 4건은 성공 후 재실행",PARTIALLY_SUPPORTED,"runner 로그 미확인",RQ-D1b,ae9d9af6bc172957b585ef29745141840dd1d780
CL-008,SSOTV2/02 §6,e9ebea51,"replay 모집단 = mart referenced 56",RQ-D1,D00,INPUT_SNAPSHOT_v21.json,"raw wtg 59 - mart wtg 56 집합차",59 targets,"누락 3건 = LONG 재시도실패 3건과 동일 집합",REFUTED,"56은 중립 모집단이 아니라 어려운 사이트가 제거된 모집단",RQ-D1c,ae9d9af6bc172957b585ef29745141840dd1d780
CL-009,SSOTV2/08,fed4010c,"control/landing-orchestrator = 084eff54",D-baseline,-,INPUT_SNAPSHOT_v21.json,"git ls-remote --heads origin",1 ref,"실측 d8f8595c",REFUTED,"문서 stale. A가 전진했을 뿐 오류는 아님",-,ae9d9af6bc172957b585ef29745141840dd1d780
CL-010,"Research Director",-,"SSOTV2가 단일 SSOT",D-baseline,-,INPUT_SNAPSHOT_v21.json,"git status / git ls-files",11 files,"전부 untracked (?? SSOTV2/)",NOT_SUPPORTED,"권위 문서가 Git 밖에 있어 03 §16 투명성 미달. 설치는 A 권한",-,ae9d9af6bc172957b585ef29745141840dd1d780
