service_id,canonical_service_key,service_name_canonical,domain,axis_type,appears_in_app_panels,appears_in_retail_panels,app_row_count,retail_row_count,alias_count,canonicalization_basis,needs_human_review,web_eligibility_status,web_eligibility_basis,web_target_group_id,web_target_key,web_target_grouping_status
svc_49a5eca8b58f7270,11st,11번가,APP,SERVICE_BRAND,3,0,6,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_49a5eca8b58f7270,11st,SINGLETON_PENDING_URL_REVIEW
svc_a215c45b2cc585ca,adot_call,에이닷 전화,APP,SERVICE_BRAND,1,0,1,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_a215c45b2cc585ca,adot_call,SINGLETON_PENDING_URL_REVIEW
svc_65f15ce8fee25b24,band,밴드,APP,SERVICE_BRAND,2,0,5,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_65f15ce8fee25b24,band,SINGLETON_PENDING_URL_REVIEW
svc_e1fadb214cde51c0,cashwalk,캐시워크,APP,SERVICE_BRAND,3,0,7,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_e1fadb214cde51c0,cashwalk,SINGLETON_PENDING_URL_REVIEW
svc_9390ef32addf32bf,chrome,Chrome,APP,SERVICE_BRAND,2,0,2,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_9390ef32addf32bf,chrome,SINGLETON_PENDING_URL_REVIEW
svc_79cd0e07c1eac5dc,coupang_app,쿠팡,APP,SERVICE_BRAND,2,0,2,0,1,"APP 도메인은 앱 사용자·사용시간을, RETAIL 도메인은 카드 결제추정금액을 잰다. 원문 표기가 같아도 측정 대상이 다르므로 measurement_entity 로는 별개다.",True,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_5b8c59f6fd9839f7,coupang,CANDIDATE_PENDING_URL_REVIEW
svc_46e5a43370f75308,danggeun,당근,APP,SERVICE_BRAND,5,0,8,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_46e5a43370f75308,danggeun,SINGLETON_PENDING_URL_REVIEW
svc_91b952863c62993d,daum,다음,APP,SERVICE_BRAND,1,0,4,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_91b952863c62993d,daum,SINGLETON_PENDING_URL_REVIEW
svc_cdce1ffd6b1b1e24,device_care,디바이스 케어,APP,SERVICE_BRAND,1,0,2,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_cdce1ffd6b1b1e24,device_care,SINGLETON_PENDING_URL_REVIEW
svc_112f591a0d47a8d8,gmarket_app,G마켓,APP,SERVICE_BRAND,3,0,6,0,1,"APP 도메인 원문은 'G마켓', RETAIL 도메인 원문은 'G마켓/옥션' 으로 표기가 다르다. 측정 대상(앱 사용자 vs 옥션 합산 결제)이 달라 별개 entity 로 둔다.",True,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_f9fbd771ffcdbd42,gmarket,CANDIDATE_PENDING_URL_REVIEW
