alias_id,service_id,entity_name_raw,domain,axis_type,panel_ids,match_basis,reviewer_note
als_998fef76eb6844a0,svc_054d78ed187cdd9f,쿠팡이츠,RETAIL,SERVICE_BRAND,fig06_t2,EXACT,
als_d0f457efc336545a,svc_088809bf9b31bc6a,삼성카드,APP,SERVICE_BRAND,"fig02_t1,fig04_t1,fig04_t2",EXACT,
als_cccb355be0b34dfb,svc_0ee385d0c964e560,홈플러스,RETAIL,SERVICE_BRAND,fig06_t1,EXACT,
als_16ff67cc29b5b618,svc_0f3bdb2bd0bb891e,탑마트,RETAIL,SERVICE_BRAND,"fig08_t1,fig11_t1,fig11_t2",EXACT,
als_61a0bbbfdebfca8a,svc_112f591a0d47a8d8,G마켓,APP,SERVICE_BRAND,"fig03_t1,fig05_t1,fig05_t2",EXACT,
als_a111ef10c2e48e0d,svc_12e3942c0495b9a4,GS25,RETAIL,SERVICE_BRAND,"fig06_t1,fig06_t2",EXACT,
als_749c30c66f129f83,svc_13ed070478ef62c3,Netflix,APP,SERVICE_BRAND,fig01_t2,EXACT,
als_a8f04079061203a0,svc_190b4501e4415d5e,V3 Mobile Plus,APP,SERVICE_BRAND,fig02_t1,EXACT,
als_b70efa86e1cc27c6,svc_22ffba7a86ea9919,코스트코,RETAIL,SERVICE_BRAND,"fig06_t1,fig09_t1,fig11_t1,fig11_t2",EXACT,
als_1677aac60690d7b1,svc_24e6654bfd1ab85b,YouTube,APP,SERVICE_BRAND,"fig01_t1,fig01_t2",EXACT,
als_b873518767002da6,svc_2af5cef408b64669,편의점,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_53aa72cbbb210537,svc_2cd43b99c1ed87cf,삼성 노트,APP,SERVICE_BRAND,fig01_t1,EXACT,
als_e85c66b61f728276,svc_35319a420294ee17,토스,APP,SERVICE_BRAND,"fig01_t1,fig01_t2",EXACT,
als_6d3c1dd941c60431,svc_353f07b932464b82,현대홈쇼핑/현대Hmall,RETAIL,SERVICE_BRAND,"fig08_t1,fig10_t1",EXACT,
als_374ed3de3bfe9b79,svc_353f07b932464b82,현대홈쇼핑/현대Hmallord,RETAIL,SERVICE_BRAND,fig10_t2,REVIEWED,"fig10.png 하단 막대차트 라벨을 4배 확대 판독한 결과 원문이 실제로 '현대홈쇼핑/현대Hmallord' 로 렌더링돼 있음을 확인했다(판독 오류 아님, 발행물 오타). 원자료 entity_name_raw 는 보정하지 않고 별칭으로만 흡수한다."
als_c83d72139d51bea4,svc_377983572bd38242,다이소,RETAIL,SERVICE_BRAND,"fig06_t2,fig09_t1",EXACT,
als_57dc346acc9a2dcb,svc_412589798229c678,배달,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_27a744339367395d,svc_46e5a43370f75308,당근,APP,SERVICE_BRAND,"fig01_t1,fig01_t2,fig03_t1,fig05_t1,fig05_t2",EXACT,
als_e18385c15e29a410,svc_49a5eca8b58f7270,11번가,APP,SERVICE_BRAND,"fig03_t1,fig05_t1,fig05_t2",EXACT,
als_44f5216e4d58a227,svc_4feab7e61bf642e8,CJ온스타일,RETAIL,SERVICE_BRAND,"fig08_t1,fig10_t1,fig10_t2",EXACT,
als_c60a7ef0b40d78bf,svc_51484a735cdb487b,컴포즈커피,RETAIL,SERVICE_BRAND,fig06_t2,EXACT,
als_631c16c8db349c05,svc_517b8047eb5be716,농협하나로마트,RETAIL,SERVICE_BRAND,"fig06_t1,fig06_t2,fig08_t1,fig11_t1,fig11_t2",EXACT,
als_5d68daa09e4c80c5,svc_5beeafeac2e27eae,TikTok,APP,SERVICE_BRAND,fig01_t2,EXACT,
als_8dec09688b09579d,svc_5c614fc99631ce5e,홈앤쇼핑,RETAIL,SERVICE_BRAND,"fig08_t1,fig10_t1,fig10_t2",EXACT,
als_ce35b284fb190c17,svc_5ede56738376a8c5,Instagram,APP,SERVICE_BRAND,fig01_t2,EXACT,
als_5ac1d8680e6787cb,svc_60d4d22e3809f780,티맵,APP,SERVICE_BRAND,"fig01_t2,fig02_t1",EXACT,
als_a7641d6d4d8cd18c,svc_64d30ef262d8782d,신한 SOL뱅크,APP,SERVICE_BRAND,fig02_t1,EXACT,
als_467cc9d091b07db8,svc_65f15ce8fee25b24,밴드,APP,SERVICE_BRAND,"fig01_t1,fig02_t1",EXACT,
als_7b1eaf0a070b031d,svc_699a5e2f3f410152,카카오톡,APP,SERVICE_BRAND,"fig01_t1,fig01_t2",EXACT,
als_6ad7daebb3026d31,svc_7594fc1d91ec9188,NC백화점/뉴코아아울렛,RETAIL,SERVICE_BRAND,fig08_t1,EXACT,
