web_target_group_id,web_target_key,member_service_ids,member_canonical_keys,member_count,member_domains,grouping_status,grouping_basis,web_target_url,url_evidence
wtg_5b8c59f6fd9839f7,coupang,"svc_79cd0e07c1eac5dc,svc_e22ebedb0e6c205f","coupang_app,coupang_retail",2,"APP,RETAIL",CANDIDATE_PENDING_URL_REVIEW,원문이 APP 과 RETAIL 양쪽에서 동일하게 '쿠팡' 으로 표기했다. 같은 브랜드의 랜딩 URL 이 하나일 가능성이 높지만 URL 을 확인하지 않았다.,,
wtg_f9fbd771ffcdbd42,gmarket,"svc_112f591a0d47a8d8,svc_e4a6c04cbf9d9421","gmarket_app,gmarket_auction",2,"APP,RETAIL",CANDIDATE_PENDING_URL_REVIEW,APP 표기 'G마켓' 과 RETAIL 표기 'G마켓/옥션' 은 측정 대상이 다르지만 랜딩 URL 은 하나로 귀결될 수 있다. 옥션이 별도 URL 을 갖는지도 확인하지 않았다.,,
wtg_6d5510a695d0a614,naver,"svc_7ce399cd76c70efa,svc_8349e143ed01f677","naver_app,naver_naverpay",2,"APP,RETAIL",CANDIDATE_PENDING_URL_REVIEW,APP 표기 '네이버' 와 RETAIL 표기 '네이버/네이버페이' 는 측정 대상이 다르지만 랜딩 URL 은 하나로 귀결될 수 있다. URL 을 확인하지 않았다.,,
wtg_49a5eca8b58f7270,11st,svc_49a5eca8b58f7270,11st,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_a215c45b2cc585ca,adot_call,svc_a215c45b2cc585ca,adot_call,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_c5285b96b598a08b,baemin,svc_c5285b96b598a08b,baemin,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_65f15ce8fee25b24,band,svc_65f15ce8fee25b24,band,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_e1fadb214cde51c0,cashwalk,svc_e1fadb214cde51c0,cashwalk,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_9390ef32addf32bf,chrome,svc_9390ef32addf32bf,chrome,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_4feab7e61bf642e8,cj_onstyle,svc_4feab7e61bf642e8,cj_onstyle,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_51484a735cdb487b,compose_coffee,svc_51484a735cdb487b,compose_coffee,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_22ffba7a86ea9919,costco,svc_22ffba7a86ea9919,costco,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_054d78ed187cdd9f,coupang_eats,svc_054d78ed187cdd9f,coupang_eats,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_e67be79550661604,cu,svc_e67be79550661604,cu,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_377983572bd38242,daiso,svc_377983572bd38242,daiso,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_46e5a43370f75308,danggeun,svc_46e5a43370f75308,danggeun,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_91b952863c62993d,daum,svc_91b952863c62993d,daum,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_cdce1ffd6b1b1e24,device_care,svc_cdce1ffd6b1b1e24,device_care,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_7f6f1aa6dd218d4d,emart,svc_7f6f1aa6dd218d4d,emart,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_be1e6feb78e5ef03,emart24,svc_be1e6feb78e5ef03,emart24,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_bbdefa2950f49882,google,svc_bbdefa2950f49882,google,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_fcf244c9ad878906,google_photos,svc_fcf244c9ad878906,google_photos,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_12e3942c0495b9a4,gs25,svc_12e3942c0495b9a4,gs25,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_e268b0ad5a2d6ece,gs_homeshopping_gsshop,svc_e268b0ad5a2d6ece,gs_homeshopping_gsshop,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_8fd5d30f8b1d707b,hana_bank,svc_8fd5d30f8b1d707b,hana_bank,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_5c614fc99631ce5e,home_and_shopping,svc_5c614fc99631ce5e,home_and_shopping,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_0ee385d0c964e560,homeplus,svc_0ee385d0c964e560,homeplus,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_b728911c9782edb8,hyundai_card,svc_b728911c9782edb8,hyundai_card,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_ccb9754c97fa7341,hyundai_department_store,svc_ccb9754c97fa7341,hyundai_department_store,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_353f07b932464b82,hyundai_homeshopping_hmall,svc_353f07b932464b82,hyundai_homeshopping_hmall,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_5ede56738376a8c5,instagram,svc_5ede56738376a8c5,instagram,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_ccd84811932b237b,kakao_t,svc_ccd84811932b237b,kakao_t,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_f322b894ee95c181,kakaomap,svc_f322b894ee95c181,kakaomap,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_699a5e2f3f410152,kakaotalk,svc_699a5e2f3f410152,kakaotalk,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
