worker,wtg,run_dir,run_ts,observation_id,in_mart,sealed,prior_archetype,prior_business_domain,prior_mapping_status,prior_endpoint_signal_type,prior_region_signal_type,prior_service,prior_url,has_l0c,ax_bytes,css_bytes,dom_parse_ok,dom_bytes,dom_title,dom_element_n,dom_body_element_n,dom_interactive_n,dom_a_href_n,dom_button_n,dom_input_n,dom_role_n,dom_aria_label_n,dom_script_n,dom_body_text_len,dom_body_empty,probe_present,probe_bytes,probe_version,probe_collected_at,probe_url,probe_final_url,probe_title,probe_lang,probe_scroll_height,probe_layout_width,body_scroll_locked,modal_overlay_n,dismiss_control_n,search_inputs_n,declared_regions_n,declared_endpoints_n,article_present,motion_animated_n,gate_password_input_n,gate_captcha_iframe_n,gate_visible_text_len,n_primary_action_candidates,cap_primary_action_candidates,n_accessible_name_sources,cap_accessible_name_sources,n_target_size,cap_target_size,n_contrast,cap_contrast,cap_any,cap_count,cap_motion_animated_60,cap_body_text_4000
w01,054d78ed187cdd9f,e001_full-wtg_054d78ed187cdd9f-2026-08-27T051944913397Z,2026-08-27T051944913397Z,07ca02fc2c5ec2fee799ccab6971acad,1,1,ITEM_DETAIL,SHOPPING_COMMERCE,CANDIDATE,URL_PATTERN,DOM_AX_ROLE,쿠팡이츠,https://www.coupangeats.com/,1,30178,269366,1,132077,"더 좋은 식사의 시작, 쿠팡이츠 - 쿠팡이츠",627,510,27,26,0,0,31,30,58,21032,0,1,61008,pc-fixture-1,2026-08-27T05:19:54.869Z,https://www.coupangeats.com/,https://www.coupangeats.com/,"더 좋은 식사의 시작, 쿠팡이츠 - 쿠팡이츠",en-US,7071,390,0,3,3,0,0,0,0,2,0,0,428,7,0,68,0,7,0,33,0,0,0,0,0
w01,088809bf9b31bc6a,e001_full-wtg_088809bf9b31bc6a-2026-08-27T052011572224Z,2026-08-27T052011572224Z,d2310fab51ea781ea00323f4fad792fd,1,1,FINANCIAL_ACTION_ENTRY,FINANCE_PAYMENT,CANDIDATE,DOM_AX_ROLE,DOM_AX_ROLE,삼성카드,https://www.samsungcard.com/,1,4634,777834,1,252179,삼성카드,2573,2520,451,370,26,1,54,20,46,15934,0,1,325390,pc-fixture-1,2026-08-27T05:20:16.049Z,https://www.samsungcard.com/personal/main/UHPPCO0101M0.jsp,https://www.samsungcard.com/personal/main/UHPPCO0101M0.jsp,삼성카드,ko,844,390,1,11,11,0,0,0,6,0,0,0,1883,82,0,300,1,82,0,171,0,1,1,0,0
w01,12e3942c0495b9a4,e001_full-wtg_12e3942c0495b9a4-2026-08-27T052024022613Z,2026-08-27T052024022613Z,d32eb11bdfeb7cb7dd51d7afbf77a579,1,1,ITEM_DETAIL,SHOPPING_COMMERCE,CANDIDATE,URL_PATTERN,DOM_AX_ROLE,GS25,https://www.gsretail.com/brand/gs25,1,121544,791820,1,358244,GS Retail,2617,2603,140,96,42,0,27,15,4,15588,0,1,254767,pc-fixture-1,2026-08-27T05:20:37.084Z,https://www.gsretail.com/brand/gs25,https://www.gsretail.com/brand/gs25,GS Retail,ko,6525,390,0,13,13,0,0,0,31,0,0,0,2109,56,0,251,0,56,0,153,0,0,0,0,0
w01,22ffba7a86ea9919,e001_full-wtg_22ffba7a86ea9919-2026-08-27T051919414067Z,2026-08-27T051919414067Z,e63ab5fcbe13f1449fdce925831381c8,1,1,ITEM_DETAIL,SHOPPING_COMMERCE,CANDIDATE,URL_PATTERN,DOM_AX_ROLE,코스트코,https://www.costco.co.kr/,1,572112,777442,1,1455381,코스트코 온라인몰 | 코스트코 코리아,9352,9132,1359,1158,173,21,306,626,29,108568,0,1,602678,pc-fixture-1,2026-08-27T05:19:34.675Z,https://www.costco.co.kr/,https://www.costco.co.kr/,코스트코 온라인몰 | 코스트코 코리아,ko,15395,390,0,16,16,1,0,0,0,0,0,0,4000,200,1,300,1,300,1,400,1,1,4,0,1
w01,5beeafeac2e27eae,e001_full-wtg_5beeafeac2e27eae-2026-08-27T051453834882Z,2026-08-27T051453834882Z,7c57141de14aaef201e4ff2ffae77b57,1,1,CONTENT_OPEN,CONTENT_VIDEO,CANDIDATE,URL_PATTERN,DOM_AX_ROLE,TikTok,https://www.tiktok.com/,1,56749,350326,1,329626,"TikTok - 트렌드의 시작, 틱톡",828,665,34,13,16,4,18,1,43,117979,0,1,105740,pc-fixture-1,2026-08-27T05:14:59.446Z,https://www.tiktok.com/,https://www.tiktok.com/,"TikTok - 트렌드의 시작, 틱톡",ko-KR,844,390,1,29,29,0,1,0,0,4,4,0,929,24,0,39,0,28,0,60,0,0,0,0,0
w01,60d4d22e3809f780,e001_full-wtg_60d4d22e3809f780-2026-08-27T051555382392Z,2026-08-27T051555382392Z,db501b7ce9f1ebf2e72266bce773db17,1,1,PLACE_LOOKUP,MAP_MOBILITY,CANDIDATE,FORM_STRUCTURE,DOM_AX_ROLE,티맵,https://www.tmapmobility.com/,1,64317,207661,1,109663,TMAP MOBILITY,508,389,52,39,13,0,0,8,43,62161,0,1,127634,pc-fixture-1,2026-08-27T05:16:00.951Z,https://www.tmapmobility.com/,https://www.tmapmobility.com/,TMAP MOBILITY,ko,4657,390,0,4,4,0,0,0,0,1,0,0,1078,50,0,75,0,50,0,75,0,0,0,0,0
w01,64d30ef262d8782d,e001_full-wtg_64d30ef262d8782d-2026-08-27T052019238305Z,2026-08-27T052019238305Z,3b57d74f6b1eef71a4a87c6877dde53f,1,1,FINANCIAL_ACTION_ENTRY,FINANCE_PAYMENT,CANDIDATE,DOM_AX_ROLE,DOM_AX_ROLE,신한 SOL뱅크,https://bank.shinhan.com/,0,294,3,1,6072,Shinhan Bank,13,0,0,0,0,0,0,0,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w01,65f15ce8fee25b24,e001_full-wtg_65f15ce8fee25b24-2026-08-27T051425554381Z,2026-08-27T051425554381Z,500967c024fafa02666ab74f9750be84,1,1,COMMUNICATION_ENTRY,SOCIAL_COMMUNICATION,CANDIDATE,URL_PATTERN,DOM_AX_ROLE,밴드,https://www.band.us/,1,54835,789738,1,4778840,모임이 쉬워진다 | 밴드,2051,1995,24,19,5,0,1,2,10,1775,0,1,93134,pc-fixture-1,2026-08-27T05:14:31.042Z,https://www.band.us/about/kr/intro,https://www.band.us/about/kr/intro,모임이 쉬워진다 | 밴드,ko,5415,390,0,5,5,0,0,0,0,0,0,0,1037,17,0,53,0,17,0,88,0,0,0,0,0
w01,8195b68ac17e42a3,e001_full-wtg_8195b68ac17e42a3-2026-08-27T052455939111Z,2026-08-27T052455939111Z,3387fa0447f1f1db0ba255d9e7c5446b,1,1,ITEM_DETAIL,SHOPPING_COMMERCE,CANDIDATE,URL_PATTERN,DOM_AX_ROLE,세븐일레븐,https://m.7-eleven.co.kr,1,32663,119858,1,21892,세븐일레븐.,250,221,62,57,0,5,0,0,18,4855,0,1,73774,pc-fixture-1,2026-08-27T05:25:05.936Z,https://m.7-eleven.co.kr/,https://m.7-eleven.co.kr/,세븐일레븐.,ko,1143,390,0,4,4,0,0,0,0,0,0,0,616,31,0,67,0,32,0,20,0,0,0,0,0
w01,91b952863c62993d,e001_full-wtg_91b952863c62993d-2026-08-27T051526470750Z,2026-08-27T051526470750Z,9ec9d90c8ec79dc72f69b3c2fdbc8337,1,1,QUERY,PORTAL_SEARCH,CANDIDATE,FORM_STRUCTURE,DOM_AX_ROLE,다음,https://m.daum.net/?nil_top=mobile,1,317358,791719,1,1282821,Daum,3060,3023,445,410,23,5,128,0,31,490471,0,1,595793,pc-fixture-1,2026-08-27T05:15:36.115Z,https://m.daum.net/?nil_top=mobile,https://m.daum.net/?nil_top=mobile,Daum,ko,15609,390,0,12,12,1,0,0,1,31,0,0,3995,200,1,300,1,261,0,400,1,1,3,0,0
