# ============================================================================
# INVALIDATED — 어떤 용도로도 사용하지 마라
# ============================================================================
# 무효 사유: 이 파일은 A7 `UNSOURCED_INCOMPATIBLE_PANEL_SET` 으로 판정된 파생 xlsx
#            (출처 미상, creator=openpyxl, 문서속성 전무)에서 파생됐다.
#            판정 근거는 sources/wiseapp/authority_manifest.json 의
#            legacy_asset_assessment 를 보라. 요약하면 그 xlsx 는 원문과 값이 어긋난
#            같은 패널이 아니라 애초에 다른 패널 집합이다.
# 오염 증거: 이 파일의 panels 컬럼에 '월평균 사용자 Top10', '리테일 INDEX Top20' 같은
#            원문에 존재하지 않는 패널명이 들어 있다. 원문(A1)의 대응 패널은
#            각각 TOP15 이며 Top10/Top20 이 아니다.
# 금지 범위: 모집단 정의, 대조군 구성, 보정, 표본 추출, 커버리지 산정 — 전부 금지.
#            셀 단위로 고쳐 재사용하는 것도 금지한다(두 패널 집합의 융합이 된다).
# 보존 이유: 무엇이 왜 폐기됐는지 추적 가능해야 하므로 삭제하지 않고 여기 남긴다.
# 무효 처리: 2026-08-26 / exec-agent(C009) / 적대적 감사 + 오케스트레이터 재결
# 원본 위치: research/landing_accessibility/state/service_certification_match_draft.csv (미추적 상태였음)
# ============================================================================
# 추가: cert_match_basis 가 전 행 NOT_FOUND 이고 certified_current 가 전 행 0 이다.
#       인증 결합은 C006 A2 스냅샷(sources/certification/)으로 새로 수행해야 하며,
#       이 파일의 url 컬럼도 URL 증거 절차를 거치지 않은 값이라 재사용할 수 없다.
# ---------------------------------------------------------------------------
name,url,urlstat,cats,panels,rows,dom,url_type,certified_current,cert_match_basis,cert_expired_history,name_corroborated,cert_targets
카카오톡,https://www.kakaocorp.com/page/service/service/KakaoTalk,OFFICIAL_WEB_PRODUCT_PAGE,COMMUNITY_PARTICIPATION,"월평균 사용시간 Top10,월평균 사용자 Top10",2,kakaocorp.com,OFFICIAL_PRODUCT_PAGE,0,NOT_FOUND,1,,[]
유튜브,https://m.youtube.com/,MOBILE_WEB_CANDIDATE,CULTURE_EDU,"월평균 사용시간 Top10,월평균 사용자 Top10",2,youtube.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
네이버,https://m.naver.com/,MOBILE_WEB_CANDIDATE,SEARCH_INFO,"월평균 사용시간 Top10,월평균 사용자 Top10",2,naver.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
쿠팡,https://m.coupang.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,"리테일 INDEX Top20,월평균 사용시간 Top10,월평균 사용자 Top10,이커머스/앱테크 앱 사용자 점유율",4,coupang.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
밴드,https://band.us/,MOBILE_WEB_CANDIDATE,COMMUNITY_PARTICIPATION,월평균 사용자 Top10,1,band.us,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
네이버 지도,https://map.naver.com/,MOBILE_WEB_CANDIDATE,MOBILITY_MAP,월평균 사용자 Top10,1,naver.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
삼성월렛,https://www.samsung.com/sec/apps/samsung-wallet/,OFFICIAL_WEB_PRODUCT_PAGE,TRANSFER_ENTRY,월평균 사용자 Top10,1,samsung.com,OFFICIAL_PRODUCT_PAGE,1,EXACT_REGDOMAIN,0,0,"[""삼성전자승마단""]"
당근,https://www.daangn.com/,MOBILE_WEB_CANDIDATE,COMMUNITY_PARTICIPATION,"월평균 사용시간 Top10,월평균 사용자 Top10",2,daangn.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
티맵,https://www.tmap.co.kr/,OFFICIAL_WEB_PRODUCT_PAGE,MOBILITY_MAP,"월평균 사용시간 Top10,월평균 사용자 Top10",2,tmap.co.kr,OFFICIAL_PRODUCT_PAGE,0,NOT_FOUND,0,,[]
토스,https://toss.im/,MOBILE_WEB_CANDIDATE,TRANSFER_ENTRY,"50세 이상 은행/뱅킹 앱 사용자 Top5,월평균 사용자 Top10",2,toss.im,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
캐시워크,https://cashwalk.io/,OFFICIAL_WEB_CANDIDATE,HEALTH_WELFARE,"월평균 사용시간 Top10,이커머스/앱테크 앱 사용자 점유율",2,cashwalk.io,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
다음,https://m.daum.net/,MOBILE_WEB_CANDIDATE,SEARCH_INFO,"50세 이상 점유율 Top10,월평균 사용시간 Top10",2,daum.net,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
인스타그램,https://www.instagram.com/,MOBILE_WEB_CANDIDATE,COMMUNITY_PARTICIPATION,월평균 사용시간 Top10,1,instagram.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
틱톡,https://www.tiktok.com/,MOBILE_WEB_CANDIDATE,CULTURE_EDU,월평균 사용시간 Top10,1,tiktok.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
홈앤쇼핑,https://www.hnsmall.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,50세 이상 점유율 Top10,1,hnsmall.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
퀸잇,https://queenit.kr/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,50세 이상 점유율 Top10,1,queenit.kr,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
롯데홈쇼핑,https://www.lotteimall.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,50세 이상 점유율 Top10,1,lotteimall.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
현대홈쇼핑,https://www.hmall.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,50세 이상 점유율 Top10,1,hmall.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
똑똑계산기,nan,URL_DISCOVERY_REQUIRED,OTHER_UTILITY,50세 이상 점유율 Top10,1,,UNRESOLVED,0,NOT_FOUND,0,,[]
Bill Letter,https://www.billletter.com/,OFFICIAL_WEB_CANDIDATE,PUBLIC,50세 이상 점유율 Top10,1,billletter.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
원기날씨,nan,URL_DISCOVERY_REQUIRED,SEARCH_INFO,50세 이상 점유율 Top10,1,,UNRESOLVED,0,NOT_FOUND,0,,[]
다음메일,https://mail.daum.net/,MOBILE_WEB_CANDIDATE,COMMUNITY_PARTICIPATION,50세 이상 점유율 Top10,1,daum.net,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
우체국뱅킹,https://www.epostbank.go.kr/,MOBILE_WEB_CANDIDATE,TRANSFER_ENTRY,50세 이상 점유율 Top10,1,epostbank.go.kr,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
네이버/네이버페이,https://m.pay.naver.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,naver.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
이마트,https://emart.ssg.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,ssg.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
옥션/G마켓,https://m.gmarket.co.kr/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,gmarket.co.kr,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
홈플러스,https://www.homeplus.co.kr/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,homeplus.co.kr,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
