web_target_id,web_target_key,web_target_url,web_registered_domain,certified_current,join_outcome,certification_number,cert_start,cert_end,target_scope_match,service_identity_match,match_basis,domain_candidate_count,valid_candidate_count,survivor_count,undetermined_reason,survivor_certification_numbers,_status,_base_sha,_shadow_lane,_created_before_p0_close,_authoritative,_real_target_outcome_used,_real_target_measurement,_requires_post_p0_reconciliation
wtg_5b8c59f6fd9839f7,coupang,,,,UNDETERMINED,,,,,,URL 미확정. 인증 부재를 주장할 근거도 없다.,0,0,0,WEB_TARGET_URL_UNRESOLVED — 요건2를 시험할 입력이 없다,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_f9fbd771ffcdbd42,gmarket,,,,UNDETERMINED,,,,,,URL 미확정. 인증 부재를 주장할 근거도 없다.,0,0,0,WEB_TARGET_URL_UNRESOLVED — 요건2를 시험할 입력이 없다,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_6d5510a695d0a614,naver,,,,UNDETERMINED,,,,,,URL 미확정. 인증 부재를 주장할 근거도 없다.,0,0,0,WEB_TARGET_URL_UNRESOLVED — 요건2를 시험할 입력이 없다,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_49a5eca8b58f7270,11st,https://www.11st.co.kr/,11st.co.kr,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 11st.co.kr 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_a215c45b2cc585ca,adot_call,https://a.sktelecom.com/,sktelecom.com,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 sktelecom.com 의 인증 9건은 모두 요건1(유효기간) 미충족이다 (['PERIOD_ELAPSED']). 과거 인증은 현재 인증이 아니다.,9,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_c5285b96b598a08b,baemin,https://baemin.com/,baemin.com,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 baemin.com 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_65f15ce8fee25b24,band,https://www.band.us/,band.us,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 band.us 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_e1fadb214cde51c0,cashwalk,https://cashwalk.com/,cashwalk.com,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 cashwalk.com 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_9390ef32addf32bf,chrome,https://www.google.com/chrome/,google.com,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 google.com 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_4feab7e61bf642e8,cj_onstyle,https://display.cjonstyle.com/nfront/search/searchAllList/,cjonstyle.com,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 cjonstyle.com 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_51484a735cdb487b,compose_coffee,https://composecoffee.com/,composecoffee.com,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 composecoffee.com 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_22ffba7a86ea9919,costco,https://www.costco.co.kr/,costco.co.kr,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 costco.co.kr 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
wtg_054d78ed187cdd9f,coupang_eats,https://www.coupangeats.com/,coupangeats.com,0.0,NOT_CERTIFIED,,,,False,False,등록도메인 coupangeats.com 이 KWACC 스냅샷 전량 2283행에 존재하지 않는다. 미매칭이 아니라 **부재의 실측**이다 (snapshot_status=COMPLETE).,0,0,0,,,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
