task_id,canonical_service_key,service_name_canonical,panel_domain,web_target_id,web_target_url,business_domain,interaction_archetype,primary_function_name,endpoint_definition,endpoint_signal_type,region_definition,region_signal_type,mapping_basis,mapping_status,mapping_ai_review_status,human_final_required,mapping_note,freeze_blocked_reason,_status,_base_sha,_shadow_lane,_created_before_p0_close,_authoritative,_real_target_outcome_used,_real_target_measurement,_requires_post_p0_reconciliation
task_shadow_11st,11st,11번가,APP,wtg_49a5eca8b58f7270,https://www.11st.co.kr/,SHOPPING_COMMERCE,ITEM_DETAIL,상품 상세 확인,상품 상세와 핵심 상품정보가 보인 순간,URL_PATTERN,개별 상품 항목의 링크·카드가 목록 형태로 노출,DOM_AX_ROLE,RULE,CANDIDATE,NOT_REVIEWED,0,codebook inclusion '오픈마켓' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_adot_call,adot_call,에이닷 전화,APP,wtg_a215c45b2cc585ca,https://a.sktelecom.com/,UTILITY_OTHER,UTILITY_ENTRY,도구 기능면 진입,기능면이 열리고 1차 조작 대상이 PRESENT ∧ HITTABLE,DOM_AX_ROLE,해당 task의 기능면 진입 control이 노출,CODEBOOK_PENDING,RULE,CANDIDATE,NOT_REVIEWED,0,codebook inclusion '단일목적 통화 보조 도구' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_band,band,밴드,APP,wtg_65f15ce8fee25b24,https://www.band.us/,SOCIAL_COMMUNICATION,COMMUNICATION_ENTRY,교환공간 진입,게시물/스레드가 열린 순간,URL_PATTERN,게시물/스레드 목록 또는 작성 진입 control이 노출,DOM_AX_ROLE,RULE,CANDIDATE,NOT_REVIEWED,0,codebook inclusion '커뮤니티·게시판' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_cashwalk,cashwalk,캐시워크,APP,wtg_e1fadb214cde51c0,https://cashwalk.com/,UTILITY_OTHER,UTILITY_ENTRY,도구 기능면 진입,기능면이 열리고 1차 조작 대상이 PRESENT ∧ HITTABLE,DOM_AX_ROLE,해당 task의 기능면 진입 control이 노출,CODEBOOK_PENDING,RULE,CANDIDATE,NOT_REVIEWED,0,codebook inclusion '걸음수 리워드 적립 도구 (BD 경계규칙 명시)' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_chrome,chrome,Chrome,APP,wtg_9390ef32addf32bf,https://www.google.com/chrome/,PORTAL_SEARCH,QUERY,검색어 제출,검색 query가 제출된 순간,FORM_STRUCTURE,검색어 입력 control이 focus 가능한 상태로 노출 (input[type=search] / role=searchbox / role=combobox + 제출 가능한 form 또는 제출 control),DOM_AX_ROLE,RULE,CANDIDATE,NOT_REVIEWED,0,codebook inclusion '범용 검색을 전면에 둔 브라우저 시작면' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_coupang_app,coupang_app,쿠팡,APP,wtg_5b8c59f6fd9839f7,,SHOPPING_COMMERCE,ITEM_DETAIL,상품 상세 확인,상품 상세와 핵심 상품정보가 보인 순간,URL_PATTERN,개별 상품 항목의 링크·카드가 목록 형태로 노출,DOM_AX_ROLE,RULE,AMBIGUOUS_UNRESOLVED,NOT_REVIEWED,0,web_eligibility_status = UNDETERMINED_URL_EVIDENCE 이므로 대표 task 를 확정할 수 없다. 적격성이 확정되면 재판정한다. 배제가 아니다.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_danggeun,danggeun,당근,APP,wtg_46e5a43370f75308,https://www.daangn.com/kr/,SOCIAL_COMMUNICATION,COMMUNICATION_ENTRY,교환공간 진입,게시물/스레드가 열린 순간,URL_PATTERN,게시물/스레드 목록 또는 작성 진입 control이 노출,DOM_AX_ROLE,RULE,CANDIDATE,NOT_REVIEWED,1,codebook inclusion 'BD-5 — 자기규정이 지역생활 커뮤니티' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_daum,daum,다음,APP,wtg_91b952863c62993d,https://m.daum.net/?nil_top=mobile,PORTAL_SEARCH,QUERY,검색어 제출,검색 query가 제출된 순간,FORM_STRUCTURE,검색어 입력 control이 focus 가능한 상태로 노출 (input[type=search] / role=searchbox / role=combobox + 제출 가능한 form 또는 제출 control),DOM_AX_ROLE,RULE,CANDIDATE,NOT_REVIEWED,0,codebook inclusion '종합 포털' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_device_care,device_care,디바이스 케어,APP,wtg_cdce1ffd6b1b1e24,https://www.samsungsvc.co.kr/solution/42404,UTILITY_OTHER,UTILITY_ENTRY,도구 기능면 진입,기능면이 열리고 1차 조작 대상이 PRESENT ∧ HITTABLE,DOM_AX_ROLE,해당 task의 기능면 진입 control이 노출,CODEBOOK_PENDING,RULE,CANDIDATE,NOT_REVIEWED,0,codebook inclusion '기기 관리·보안' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
task_shadow_gmarket_app,gmarket_app,G마켓,APP,wtg_f9fbd771ffcdbd42,,SHOPPING_COMMERCE,ITEM_DETAIL,상품 상세 확인,상품 상세와 핵심 상품정보가 보인 순간,URL_PATTERN,개별 상품 항목의 링크·카드가 목록 형태로 노출,DOM_AX_ROLE,RULE,CANDIDATE,NOT_REVIEWED,0,codebook inclusion '오픈마켓' 에 의한 규칙 판정.,TARGET_TASK_FRAME_FROZEN Gate 는 P0 이후다 (PHASE_GATES §4.1 · A2 규칙 P-1). LANE B 는 candidate 에서 멈춘다.,SHADOW_PREPARATORY,d5f1da5652953542d5c8be377026cc3293f2075a,LANE_B,True,False,False,False,True
