fixture | unit | pop | row | exists | visible | acc_name | required | occl | hittable | selected | A==B
f01 | target | all | TARGET | T | T | ["닫기"] | T | 1.000 | T | ["#promo-close"] | ok
f01 | target | blocking | TARGET | T | T | ["닫기"] | T | 1.000 | T | ["#promo-close"] | ok
f01 | container | all | #promo-modal | T | T | 닫기 | T | 1.000 | T | #promo-close | ok
f01 | container | blocking | #promo-modal | T | T | 닫기 | T | 1.000 | T | #promo-close | ok
f01 | step | all | step0:#promo-modal | T | T | 닫기 | T | 1.000 | T | #promo-close | ok
f01 | step | blocking | step0:#promo-modal | T | T | 닫기 | T | 1.000 | T | #promo-close | ok
f02 | target | all | TARGET | T | F | ["NAME_ABSENT"] | T | 1.000 | F | ["#ad-close-ghost"] | ok
f02 | target | blocking | TARGET | T | F | ["NAME_ABSENT"] | T | 1.000 | F | ["#ad-close-ghost"] | ok
f02 | container | all | #ad-layer | T | F | NAME_ABSENT | T | 1.000 | F | #ad-close-ghost | ok
f02 | container | blocking | #ad-layer | T | F | NAME_ABSENT | T | 1.000 | F | #ad-close-ghost | ok
f02 | step | all | step0:#ad-layer | T | F | NAME_ABSENT | T | 1.000 | F | #ad-close-ghost | ok
f02 | step | blocking | step0:#ad-layer | T | F | NAME_ABSENT | T | 1.000 | F | #ad-close-ghost | ok
f03 | target | all | TARGET | T | F | ["닫기"] | T | 1.000 | F | ["#event-close"] | ok
f03 | target | blocking | TARGET | T | F | ["닫기"] | T | 1.000 | F | ["#event-close"] | ok
f03 | container | all | #event-layer | T | F | 닫기 | T | 1.000 | F | #event-close | ok
f03 | container | blocking | #event-layer | T | F | 닫기 | T | 1.000 | F | #event-close | ok
f03 | step | all | step0:#event-layer | T | F | 닫기 | T | 1.000 | F | #event-close | ok
f03 | step | blocking | step0:#event-layer | T | F | 닫기 | T | 1.000 | F | #event-close | ok
f04 | target | all | TARGET | T | T | ["닫기", "닫기"] | T | 0.583 | T | ["#notice-close", "#cookie-close"] | ok
f04 | target | blocking | TARGET | T | T | ["닫기"] | T | 0.583 | T | ["#notice-close"] | ok
f04 | container | all | #cookie-banner | T | T | 닫기 | F | 0.000 | T | #cookie-close | ok
f04 | container | all | #notice-layer | T | T | 닫기 | T | 0.583 | T | #notice-close | ok
f04 | container | blocking | #notice-layer | T | T | 닫기 | T | 0.583 | T | #notice-close | ok
f04 | step | all | step0:#notice-layer | T | T | 닫기 | T | 0.583 | T | #notice-close | ok
f04 | step | blocking | step0:#notice-layer | T | T | 닫기 | T | 0.583 | T | #notice-close | ok
f05 | target | all | TARGET | NULL | NULL | NULL | F | 0.000 | NULL | NULL | ok
f05 | target | blocking | TARGET | NULL | NULL | NULL | F | 0.000 | NULL | NULL | ok

mode=CONVERGE rows compared=27 identical=27 differing=0 per-unit={'target': 10, 'container': 9, 'step': 8} -> PASS
